"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Cliff Pennington","OAK","156","576","6","64","46","29","8.7%","16.7%",".118",".296",".250",".319",".368",".308","","91","7.6","1.5","12.7","3.6","3395"
"Paul Konerko","CHW","149","631","39","89","111","0","11.4%","17.4%",".272",".326",".312",".393",".584",".417","","158","-5.2","38.0","-26.0","3.6","242"
"Mark Teixeira","NYY","158","712","33","113","108","0","13.1%","17.1%",".225",".268",".256",".365",".481",".369","","128","-1.2","22.1","-13.6","3.5","1281"
"David Wright","NYM","157","670","29","87","103","19","10.3%","24.0%",".220",".335",".283",".354",".503",".366","","129","-1.6","21.6","-8.7","3.4","3787"
"Andrew McCutchen","PIT","154","653","16","94","56","33","10.7%","13.6%",".163",".311",".286",".365",".449",".359","","124","5.8","24.4","-11.3","3.4","9847"
"Drew Stubbs","CIN","150","583","22","91","77","30","9.4%","28.8%",".189",".330",".255",".329",".444",".338","","105","8.2","12.0","2.7","3.3","9328"
"Alex Rios","CHW","147","617","21","89","88","34","6.2%","15.1%",".173",".306",".284",".334",".457",".344","","109","0.3","6.5","3.7","3.3","2090"
"Torii Hunter","LAA","152","646","23","76","90","9","9.4%","16.4%",".183",".307",".281",".354",".464",".357","","126","-6.9","12.6","-4.4","3.2","731"
"Shane Victorino","PHI","147","648","18","84","69","34","8.2%","12.2%",".170",".273",".259",".327",".429",".331","","102","5.2","7.2","3.5","3.1","1677"
"Orlando Hudson","MIN","126","559","6","80","37","10","8.9%","15.6%",".105",".312",".268",".338",".372",".319","","96","2.2","-0.7","10.3","3.0","1307"
"Adam Dunn","WSN","158","648","38","85","103","0","11.9%","30.7%",".276",".329",".260",".356",".536",".381","","136","-4.3","23.5","-14.3","3.0","319"
"Alex Gonzalez","- - -","157","640","23","74","88","1","4.8%","18.4%",".197",".275",".250",".294",".447",".321","","96","-2.3","-5.1","12.5","3.0","520"
"Corey Hart","MIL","145","614","31","91","102","7","7.3%","22.8%",".242",".324",".283",".340",".525",".373","","130","2.2","24.4","-14.5","2.9","1945"
"Ike Davis","NYM","147","601","19","73","71","3","12.0%","23.0%",".176",".321",".264",".351",".440",".346","","116","-1.4","10.0","-0.5","2.9","8433"
"Casey Blake","LAD","146","571","17","56","64","0","8.4%","24.2%",".159",".305",".248",".320",".407",".321","","101","1.7","2.0","8.2","2.9","719"
"Casey McGehee","MIL","157","670","23","70","104","1","7.5%","15.2%",".179",".306",".285",".337",".464",".347","","113","-1.4","9.2","-2.3","2.8","6086"
"Luke Scott","BAL","131","517","27","70","72","2","11.4%","19.0%",".251",".304",".284",".368",".535",".387","","140","-3.7","20.5","-12.1","2.8","3469"
"Juan Uribe","SFG","148","575","24","64","85","1","7.8%","16.0%",".192",".256",".248",".310",".440",".324","","102","-3.5","-2.0","11.0","2.7","454"
"Alfonso Soriano","CHC","147","548","24","67","79","5","8.2%","22.4%",".238",".295",".258",".322",".496",".352","","114","1.0","10.2","-1.0","2.7","847"
"Denard Span","MIN","153","705","3","85","58","26","8.5%","10.5%",".084",".294",".264",".331",".348",".307","","87","2.0","-8.5","9.3","2.7","8347"
"Hunter Pence","HOU","156","658","25","93","91","18","6.2%","16.0%",".179",".304",".282",".325",".461",".342","","111","3.2","12.1","-6.4","2.7","8252"
"Prince Fielder","MIL","161","714","32","94","83","1","16.0%","19.3%",".209",".291",".261",".401",".471",".381","","136","-6.6","24.0","-20.2","2.6","4613"
"Juan Pierre","CHW","160","734","1","96","47","68","6.1%","6.4%",".041",".294",".275",".341",".316",".302","","80","12.0","-5.1","4.6","2.6","443"
"David Ortiz","BOS","145","606","32","86","102","0","13.5%","23.9%",".259",".313",".270",".370",".529",".382","","134","-6.2","18.3","-14.9","2.6","745"
"Kevin Kouzmanoff","OAK","143","586","16","59","71","2","4.1%","16.4%",".149",".270",".247",".283",".396",".296","","83","-2.4","-13.7","17.4","2.5","5995"
"Adam Jones","BAL","149","621","19","76","69","7","3.7%","19.2%",".158",".328",".284",".325",".442",".336","","105","-0.3","3.6","-1.5","2.5","6368"
"Jose Reyes","NYM","133","603","11","83","54","30","5.1%","10.4%",".146",".301",".282",".321",".428",".325","","102","2.8","4.2","1.4","2.5","1736"
"Justin Upton","ARI","133","571","17","73","69","18","11.2%","26.6%",".170",".354",".273",".356",".442",".349","","109","0.7","7.1","-0.6","2.5","5222"
"Michael Young","TEX","157","718","21","99","91","4","7.0%","16.0%",".160",".311",".284",".330",".444",".336","","101","1.1","1.6","-3.2","2.5","1286"
"Nick Markakis","BAL","160","709","12","79","60","7","10.3%","13.1%",".138",".331",".297",".370",".436",".353","","116","-2.1","11.6","-12.8","2.5","5930"
"Bobby Abreu","LAA","154","667","20","88","78","24","13.0%","19.8%",".180",".296",".255",".352",".435",".347","","119","-0.3","14.9","-15.3","2.4","945"
"Johnny Damon","DET","145","613","8","81","51","11","11.3%","14.7%",".130",".312",".271",".355",".401",".338","","107","6.4","11.6","-10.4","2.4","185"
"Derek Jeter","NYY","157","739","10","111","67","18","8.5%","14.3%",".100",".307",".270",".340",".370",".318","","93","1.0","-5.3","1.8","2.3","826"
"J.D. Drew","BOS","139","546","22","69","68","3","11.0%","19.2%",".197",".282",".255",".341",".452",".347","","110","-0.2","6.5","-3.4","2.3","1152"
"Franklin Gutierrez","SEA","152","629","12","61","64","25","7.9%","21.8%",".118",".297",".245",".303",".363",".293","","85","2.6","-8.5","7.6","2.2","3255"
"Mike Napoli","LAA","140","510","26","60","68","4","8.2%","26.9%",".230",".279",".238",".316",".468",".341","","115","-1.3","7.5","-4.8","2.1","3057"
"Elvis Andrus","TEX","148","674","0","88","35","32","9.5%","14.2%",".036",".317",".265",".342",".301",".298","","75","8.4","-11.3","8.2","2.1","8709"
"Billy Butler","KCR","158","678","15","77","78","0","10.2%","11.5%",".151",".341",".318",".388",".469",".373","","133","-12.6","13.4","-17.0","2.1","7399"
"Cody Ross","- - -","153","569","14","71","65","9","6.5%","21.3%",".145",".324",".269",".322",".413",".322","","96","2.7","0.1","2.6","2.1","1760"
"Marco Scutaro","BOS","150","695","11","92","56","5","7.6%","10.2%",".112",".295",".275",".333",".388",".321","","93","0.5","-5.3","0.2","2.0","1555"
"Omar Infante","ATL","134","506","8","65","47","7","5.7%","12.3%",".096",".355",".321",".359",".416",".343","","111","-2.6","4.1","-0.2","2.0","1609"
"Andre Ethier","LAD","139","585","23","71","82","2","10.1%","17.4%",".201",".322",".292",".364",".493",".368","","132","1.6","23.8","-22.8","1.9","6265"
"Brandon Inge","DET","144","580","13","47","70","4","9.3%","23.1%",".150",".305",".247",".321",".397",".316","","92","-0.7","-6.1","3.9","1.9","470"
"Starlin Castro","CHC","125","506","3","53","41","10","5.7%","14.0%",".108",".346",".300",".347",".408",".329","","99","-0.9","-1.7","3.6","1.8","4579"
"Gaby Sanchez","FLA","151","643","19","72","85","5","8.9%","15.7%",".175",".299",".273",".341",".448",".345","","111","-0.5","7.7","-10.0","1.8","3361"
"Delmon Young","MIN","153","613","21","77","112","5","4.6%","13.2%",".195",".312",".298",".333",".493",".354","","120","-2.7","11.4","-16.1","1.7","2140"
"Howie Kendrick","LAA","158","658","10","67","75","14","4.3%","14.3%",".128",".313",".279",".313",".407",".316","","98","1.6","-0.1","-6.3","1.7","4229"
"Yunel Escobar","- - -","135","567","4","60","35","6","9.9%","10.1%",".062",".282",".256",".337",".318",".301","","83","-0.8","-12.1","10.2","1.7","4191"
"Mark Reynolds","ARI","145","596","32","79","85","7","13.9%","35.4%",".234",".257",".198",".320",".433",".329","","96","-1.6","-4.5","2.4","1.6","7619"
"Hideki Matsui","LAA","145","558","21","55","84","0","12.0%","17.6%",".185",".302",".274",".361",".459",".358","","126","-5.5","11.8","-17.1","1.5","1659"
"Ryan Ludwick","- - -","136","553","17","63","69","0","8.7%","21.9%",".167",".297",".251",".325",".418",".329","","106","-2.8","1.1","-3.7","1.5","1260"
"Derrek Lee","- - -","148","626","19","80","80","1","11.7%","21.4%",".168",".309",".260",".347",".428",".343","","109","-5.0","1.6","-7.2","1.4","525"
"Jeff Keppinger","HOU","137","575","6","62","59","4","8.9%","6.3%",".105",".298",".288",".351",".393",".332","","104","-5.0","-2.1","-2.4","1.3","3856"
"Chone Figgins","SEA","161","702","1","62","35","42","10.5%","16.2%",".047",".314",".259",".340",".306",".298","","88","6.6","-3.1","-8.7","1.3","1580"
"Jhonny Peralta","- - -","148","615","15","60","81","1","8.6%","16.7%",".143",".275",".249",".311",".392",".309","","91","-4.3","-11.1","2.2","1.3","1738"
"Jason Bartlett","TBR","135","532","4","71","47","11","8.5%","15.6%",".096",".299",".254",".324",".350",".304","","91","4.0","-1.9","-4.6","1.3","8219"
"Aaron Hill","TOR","138","580","26","70","68","2","7.1%","14.7%",".189",".196",".205",".271",".394",".292","","77","0.3","-15.2","6.8","1.2","6104"
"Kurt Suzuki","OAK","131","544","13","55","71","3","6.1%","9.0%",".123",".245",".242",".303",".366",".297","","84","-1.4","-11.7","4.3","1.2","8259"
"Lyle Overbay","TOR","154","608","20","75","67","1","11.0%","21.5%",".189",".285",".243",".329",".433",".332","","105","-1.2","2.0","-11.9","1.2","1617"
"Erick Aybar","LAA","138","589","5","69","29","22","5.9%","13.8%",".077",".289",".253",".306",".330",".286","","78","2.6","-12.7","3.2","1.2","4082"
"A.J. Pierzynski","CHW","128","503","9","43","56","3","3.0%","7.8%",".118",".278",".270",".300",".388",".302","","80","-6.3","-18.1","11.4","1.1","746"
"Rajai Davis","OAK","143","561","5","66","52","50","4.6%","13.9%",".093",".322",".284",".320",".377",".309","","92","7.1","1.9","-10.6","1.1","3708"
"Raul Ibanez","PHI","155","636","16","75","83","4","10.7%","17.0%",".169",".311",".275",".349",".444",".343","","110","-3.1","4.6","-13.2","1.1","607"
"Pablo Sandoval","SFG","152","616","13","61","63","3","7.6%","13.1%",".140",".291",".268",".323",".409",".316","","96","-4.9","-7.5","-0.5","1.1","5409"
"Vladimir Guerrero","TEX","152","643","29","83","115","4","5.4%","9.3%",".196",".292",".300",".345",".496",".364","","119","-12.4","2.3","-14.6","1.1","778"
"Carlos Pena","TBR","144","582","28","64","84","5","14.9%","27.1%",".211",".222",".196",".325",".407",".325","","105","1.5","5.0","-15.5","1.0","934"
"Dexter Fowler","COL","132","505","6","73","36","13","11.3%","20.6%",".150",".328",".260",".347",".410",".337","","94","0.6","-3.1","-2.7","1.0","4062"
"Ryan Howard","PHI","143","620","31","87","108","1","9.5%","25.3%",".229",".332",".276",".353",".505",".368","","127","-7.2","13.1","-23.2","0.9","2154"
"Alberto Callaspo","- - -","146","601","10","61","56","5","5.2%","7.0%",".109",".269",".265",".302",".374",".297","","82","-5.5","-18.2","5.4","0.9","3336"
"Miguel Tejada","- - -","156","681","15","71","71","2","4.4%","9.8%",".112",".280",".269",".312",".381",".306","","88","-3.6","-13.1","-1.7","0.8","941"
"James Loney","LAD","161","648","10","67","88","10","8.0%","14.7%",".128",".302",".267",".329",".395",".316","","97","1.7","-0.3","-11.7","0.8","4556"
"Ian Desmond","WSN","154","574","10","59","65","17","4.9%","19.0%",".124",".317",".269",".308",".392",".306","","86","2.0","-7.6","-2.4","0.8","6885"
"Brennan Boesch","DET","133","512","14","49","67","7","7.8%","19.3%",".159",".297",".256",".320",".416",".322","","96","1.4","-0.8","-10.1","0.7","914"
"Adam LaRoche","ARI","151","615","25","75","100","0","7.8%","28.0%",".207",".330",".261",".320",".468",".341","","104","-7.7","-4.9","-7.0","0.7","1904"
"Orlando Cabrera","CIN","123","537","4","64","42","11","5.2%","9.9%",".091",".284",".263",".303",".354",".292","","75","-0.7","-17.1","7.2","0.7","766"
"Nyjer Morgan","WSN","136","577","0","60","24","34","6.9%","15.3%",".061",".304",".253",".319",".314",".288","","74","4.5","-13.6","2.4","0.6","4885"
"Yuniesky Betancourt","KCR","151","588","16","60","78","2","3.9%","10.9%",".146",".267",".259",".288",".405",".302","","84","0.2","-10.7","-4.6","0.6","8585"
"Scott Podsednik","- - -","134","595","6","63","51","35","6.7%","13.9%",".085",".338",".297",".342",".382",".322","","99","3.1","2.1","-17.9","0.5","1095"
"Jose Lopez","SEA","150","622","10","49","58","3","3.7%","10.6%",".099",".254",".239",".270",".339",".270","","69","-4.9","-27.7","9.9","0.4","3114"
"Alcides Escobar","MIL","145","552","4","57","41","10","6.5%","12.7%",".091",".264",".235",".288",".326",".270","","62","4.1","-21.2","8.6","0.4","6310"
"Jeff Francoeur","- - -","139","503","13","52","65","8","6.0%","16.1%",".134",".270",".249",".300",".383",".295","","80","1.1","-10.7","-2.1","0.3","4792"
"Jose Guillen","- - -","148","577","19","55","77","1","5.5%","19.6%",".158",".291",".258",".314",".416",".322","","98","-8.6","-9.9","-8.3","0.1","57"
"Matt Kemp","LAD","162","668","28","82","89","19","7.9%","25.4%",".201",".295",".249",".310",".450",".329","","106","-1.3","3.1","-23.5","0.0","5631"
"Aramis Ramirez","CHC","124","507","25","61","83","0","6.7%","17.8%",".211",".245",".241",".294",".452",".322","","94","-6.0","-9.8","-5.8","0.0","1002"
"Michael Cuddyer","MIN","157","675","14","93","81","7","8.6%","13.8%",".146",".298",".271",".336",".417",".330","","103","-0.7","1.6","-25.8","0.0","1534"
"Ty Wigginton","BAL","154","649","22","63","76","0","7.7%","17.9%",".167",".270",".248",".312",".415",".318","","93","-4.8","-10.2","-14.0","-0.1","1491"
"Jonny Gomes","CIN","148","571","18","77","86","5","6.8%","21.5%",".164",".311",".266",".327",".431",".331","","101","3.9","4.4","-23.5","-0.2","1845"
"Garrett Jones","PIT","158","654","21","64","86","7","8.1%","18.8%",".167",".274",".247",".306",".414",".315","","95","-3.0","-7.2","-14.7","-0.2","2714"
"Carlos Quentin","CHW","131","527","26","73","87","2","9.5%","15.7%",".236",".241",".243",".342",".479",".358","","118","0.1","11.3","-32.3","-0.3","6274"
"Cesar Izturis","BAL","150","513","1","42","28","11","4.9%","10.3%",".038",".257",".230",".277",".268",".249","","46","0.0","-32.8","11.8","-0.3","656"
"Jorge Cantu","- - -","127","515","11","50","56","0","5.6%","18.4%",".136",".295",".256",".304",".392",".306","","83","-0.4","-10.6","-10.1","-0.5","2521"
"Ryan Theriot","- - -","150","640","2","72","29","20","6.4%","11.6%",".043",".305",".270",".321",".312",".286","","73","-2.7","-23.6","-0.7","-0.5","3811"
"Skip Schumaker","STL","137","529","5","66","42","5","8.1%","12.1%",".074",".294",".265",".328",".338",".301","","85","-1.6","-11.2","-10.8","-0.6","3704"
"Adam Lind","TOR","150","613","23","57","72","0","6.2%","23.5%",".188",".277",".237",".287",".425",".309","","89","-2.4","-10.3","-17.3","-0.6","8027"
"Jason Kubel","MIN","143","582","21","68","92","0","9.6%","19.9%",".178",".280",".249",".323",".427",".327","","101","-7.6","-6.7","-20.4","-0.7","2161"
"Melky Cabrera","ATL","147","509","4","50","42","7","8.3%","12.6%",".098",".288",".255",".317",".354",".292","","77","0.0","-13.9","-15.7","-1.5","4022"
"Carlos Lee","HOU","157","649","24","67","89","3","5.7%","9.1%",".170",".238",".246",".291",".417",".310","","89","-4.8","-13.0","-23.2","-1.7","243"
